start_time,end_time,download_time
1700576836.197691,1700576839.6067336,3.4090425968170166
1700576836.1929288,1700576839.5778763,3.3849475383758545
1700576836.2153392,1700576840.5895586,4.3742194175720215
1700576836.194275,1700576840.4139016,4.2196266651153564
1700576836.2033565,1700576839.7823057,3.578949213027954
1700576836.2015533,1700576840.2204492,4.018895864486694
1700576836.203754,1700576840.2994156,4.095661640167236
1700576836.2023258,1700576839.1630847,2.960758924484253
1700576836.2025394,1700576839.4817455,3.2792060375213623
1700576836.2062614,1700576840.0940278,3.8877663612365723
1700576836.2328482,1700576840.233591,4.0007429122924805
1700576836.2170286,1700576839.6710856,3.454056978225708
1700576836.2190645,1700576839.8359334,3.6168689727783203
1700576836.2068398,1700576840.0236187,3.8167788982391357
1700576836.2057238,1700576839.7300403,3.5243165493011475
1700576836.212515,1700576840.2360141,4.023499011993408
1700576836.2390668,1700576839.8573463,3.618279457092285
1700576836.220493,1700576839.7700567,3.5495636463165283
1700576836.2180457,1700576839.45625,3.23820424079895
1700576836.219911,1700576839.2720313,3.0521202087402344
1700576836.2414978,1700576840.1689045,3.9274067878723145
1700576836.223451,1700576839.799311,3.575860023498535
1700576836.2348068,1700576839.5514362,3.316629409790039
1700576836.2254605,1700576840.218177,3.9927165508270264
1700576836.2253056,1700576839.9038744,3.6785688400268555
1700576836.2256548,1700576840.1457016,3.920046806335449
1700576836.2327738,1700576839.08186,2.849086284637451
1700576836.2323096,1700576839.9570508,3.724741220474243
1700576836.237633,1700576840.3099084,4.072275400161743
1700576836.2327344,1700576840.1335018,3.9007673263549805
1700576836.2384512,1700576839.1199687,2.8815174102783203
1700576836.2413945,1700576840.055017,3.81362247467041
1700576836.2259667,1700576839.1990383,2.973071575164795
1700576836.2497706,1700576839.2276947,2.977924108505249
1700576836.2785876,1700576840.1393352,3.8607475757598877
1700576836.2686462,1700576839.3785503,3.1099040508270264
1700576836.2764895,1700576839.6504185,3.373929023742676
1700576836.2420332,1700576839.5847774,3.3427441120147705
1700576836.2543683,1700576840.1637285,3.90936017036438
1700576836.2579756,1700576840.0693338,3.8113582134246826
1700576836.2674732,1700576839.1324959,2.865022659301758
1700576836.2491093,1700576839.135339,2.8862297534942627
1700576836.2589703,1700576839.7256727,3.466702461242676
1700576836.2584357,1700576840.317368,4.058932304382324
1700576836.2616603,1700576839.9204,3.6587395668029785
1700576836.259983,1700576840.1492672,3.889284133911133
1700576836.5602357,1700576839.8283198,3.2680840492248535
1700576836.2725933,1700576840.1376386,3.8650453090667725

