xx,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,yy,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0,1714053645105,1714053652696,1714053660896,1714053662874,1714053698041,0,1714053728770,1714053734199,1714053749350,1714053760615,1714053769017,1714053801837
1,1,1714053645105,1714053648952,1714053658582,1714053659865,1714053672056,1,1714053728770,1714053735213,1714053750554,1714053758380,1714053765936,1714053801837
2,2,1714053645105,1714053653995,1714053664273,1714053666768,1714053712205,2,1714053728770,1714053735400,1714053751619,1714053764388,1714053772916,1714053801837
3,3,1714053645105,1714053654737,1714053664058,1714053666453,1714053713037,3,1714053728770,1714053734369,1714053748200,1714053755201,1714053760955,1714053801837
4,4,1714053645105,1714053654595,1714053663882,1714053666281,1714053712751,4,1714053728770,1714053734981,1714053750250,1714053760955,1714053773278,1714053801837
5,5,1714053645105,1714053648824,1714053659446,1714053660858,1714053687014,5,1714053728770,1714053733229,1714053747531,1714053758294,1714053769355,1714053801837
6,6,1714053645105,1714053653252,1714053663285,1714053665678,1714053721253,6,1714053728770,1714053733459,1714053746944,1714053755550,1714053763111,1714053801837
7,7,1714053645105,1714053649193,1714053659422,1714053660798,1714053683946,7,1714053728770,1714053736444,1714053753404,1714053762729,1714053774179,1714053801837
8,8,1714053645105,1714053653160,1714053663011,1714053665310,1714053713437,8,1714053728770,1714053734247,1714053748320,1714053756636,1714053766576,1714053801837
9,9,1714053645105,1714053649302,1714053659820,1714053661254,1714053688426,9,1714053728770,1714053735473,1714053751313,1714053761614,1714053770821,1714053801837
10,10,1714053645105,1714053654194,1714053662812,1714053665249,1714053705702,10,1714053728770,1714053734477,1714053748894,1714053757196,1714053765950,1714053801837
11,11,1714053645105,1714053649488,1714053658786,1714053660121,1714053674302,11,1714053728770,1714053736636,1714053753562,1714053762167,1714053771337,1714053801837
12,12,1714053645105,1714053654308,1714053663495,1714053665775,1714053712696,12,1714053728770,1714053733192,1714053746801,1714053754864,1714053767895,1714053801837
13,13,1714053645105,1714053649688,1714053658754,1714053660036,1714053673234,13,1714053728770,1714053734598,1714053749175,1714053757900,1714053765063,1714053801837
14,14,1714053645105,1714053653294,1714053662983,1714053665110,1714053702360,14,1714053728770,1714053732915,1714053746194,1714053754466,1714053764445,1714053801837
15,15,1714053645105,1714053649485,1714053658919,1714053660314,1714053676477,15,1714053728770,1714053735652,1714053753858,1714053766902,1714053778798,1714053801837
16,16,1714053645105,1714053653568,1714053664954,1714053667577,1714053713070,16,1714053728770,1714053732868,1714053746266,1714053756648,1714053765468,1714053801837
17,17,1714053645105,1714053649220,1714053659306,1714053660627,1714053682796,17,1714053728770,1714053734716,1714053749911,1714053761050,1714053769178,1714053801837
18,18,1714053645105,1714053651645,1714053661952,1714053663976,1714053702259,18,1714053728770,1714053732683,1714053745839,1714053754789,1714053762936,1714053801837
19,19,1714053645105,1714053651197,1714053661491,1714053663783,1714053701990,19,1714053728770,1714053736115,1714053752145,1714053760282,1714053768205,1714053801837
20,20,1714053645105,1714053655259,1714053665778,1714053668919,1714053713446,20,1714053728770,1714053734069,1714053748526,1714053757335,1714053764811,1714053801837
21,21,1714053645105,1714053655343,1714053664664,1714053667690,1714053712939,21,1714053728770,1714053736244,1714053754262,1714053766142,1714053775578,1714053801837
22,22,1714053645105,1714053652696,1714053661656,1714053663715,1714053701890,22,1714053728770,1714053733856,1714053748343,1714053758984,1714053766702,1714053801837
23,23,1714053645105,1714053652218,1714053660994,1714053663066,1714053700303,23,1714053728770,1714053735851,1714053751599,1714053760821,1714053769603,1714053801837
24,24,1714053645105,1714053652831,1714053662061,1714053664208,1714053703344,24,1714053728770,1714053732553,1714053745669,1714053754222,1714053761382,1714053801837
25,25,1714053645105,1714053654984,1714053663709,1714053665918,1714053713632,25,1714053728770,1714053735504,1714053750998,1714053758490,1714053765559,1714053801837
26,26,1714053645105,1714053653047,1714053664230,1714053666897,1714053715325,26,1714053728770,1714053733858,1714053748881,1714053761903,1714053771524,1714053801837
27,27,1714053645105,1714053651109,1714053659869,1714053661565,1714053690718,27,1714053728770,1714053736323,1714053754038,1714053766074,1714053774361,1714053801837
28,28,1714053645105,1714053651876,1714053660526,1714053662121,1714053696380,28,1714053728770,1714053735962,1714053752628,1714053761880,1714053768616,1714053801837
29,29,1714053645105,1714053654473,1714053663891,1714053666594,1714053712777,29,1714053728770,1714053737444,1714053754990,1714053764175,1714053774640,1714053801837
