xx,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,yy,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0,1714053744806,1714053749357,1714053759426,1714053760841,1714053783043,0,1714053823582,1714053831373,1714053845994,1714053857120,1714053865645,1714053895520
1,1,1714053744806,1714053750632,1714053762359,1714053764774,1714053803995,1,1714053823582,1714053829595,1714053842581,1714053850272,1714053856541,1714053895520
2,2,1714053744806,1714053748715,1714053759061,1714053760468,1714053778607,2,1714053823582,1714053830416,1714053844409,1714053855883,1714053864424,1714053895520
3,3,1714053744806,1714053749841,1714053759039,1714053760455,1714053777665,3,1714053823582,1714053830990,1714053844928,1714053851652,1714053858082,1714053895520
4,4,1714053744806,1714053751691,1714053760562,1714053762354,1714053793524,4,1714053823582,1714053827480,1714053840549,1714053850350,1714053858426,1714053895520
5,5,1714053744806,1714053750626,1714053762095,1714053764207,1714053803419,5,1714053823582,1714053829197,1714053843007,1714053854153,1714053866696,1714053895520
6,6,1714053744806,1714053751657,1714053762398,1714053764634,1714053802802,6,1714053823582,1714053831373,1714053845443,1714053853883,1714053863678,1714053895520
7,7,1714053744806,1714053748790,1714053758801,1714053760117,1714053776292,7,1714053823582,1714053828001,1714053841573,1714053849918,1714053858262,1714053895520
8,8,1714053744806,1714053751540,1714053761535,1714053763668,1714053798851,8,1714053823582,1714053832766,1714053855008,1714053864634,1714053871095,1714053895520
9,9,1714053744806,1714053750438,1714053760883,1714053762676,1714053797848,9,1714053823582,1714053827854,1714053841176,1714053850841,1714053858356,1714053895520
10,10,1714053744806,1714053751226,1714053760434,1714053762421,1714053796561,10,1714053823582,1714053831587,1714053845920,1714053854146,1714053861586,1714053895520
11,11,1714053744806,1714053749458,1714053759411,1714053760856,1714053783050,11,1714053823582,1714053828284,1714053841570,1714053849392,1714053856146,1714053895520
12,12,1714053744806,1714053752522,1714053761399,1714053763661,1714053799999,12,1714053823582,1714053830649,1714053844438,1714053852674,1714053866720,1714053895520
13,13,1714053744806,1714053748820,1714053757931,1714053759204,1714053766462,13,1714053823582,1714053827896,1714053841025,1714053848852,1714053860561,1714053895520
14,14,1714053744806,1714053752772,1714053762453,1714053764696,1714053802858,14,1714053823582,1714053832304,1714053847023,1714053855740,1714053866317,1714053895520
15,15,1714053744806,1714053749839,1714053759012,1714053760417,1714053779594,15,1714053823582,1714053828065,1714053841818,1714053853463,1714053866793,1714053895520
16,16,1714053744806,1714053752352,1714053762474,1714053764617,1714053801813,16,1714053823582,1714053831003,1714053845619,1714053856361,1714053866624,1714053895520
17,17,1714053744806,1714053748530,1714053758708,1714053760051,1714053774242,17,1714053823582,1714053828736,1714053842422,1714053852701,1714053864232,1714053895520
18,18,1714053744806,1714053751944,1714053761805,1714053763991,1714053801506,18,1714053823582,1714053830998,1714053845450,1714053855068,1714053863625,1714053895520
19,19,1714053744806,1714053749073,1714053758434,1714053760051,1714053774222,19,1714053823582,1714053829007,1714053842299,1714053849632,1714053873943,1714053895520
20,20,1714053744806,1714053751345,1714053761690,1714053763980,1714053803187,20,1714053823582,1714053830225,1714053843997,1714053852895,1714053861175,1714053895520
21,21,1714053744806,1714053750614,1714053760069,1714053761640,1714053789845,21,1714053823582,1714053828483,1714053842210,1714053853368,1714053865368,1714053895520
22,22,1714053744806,1714053753307,1714053762353,1714053764544,1714053802718,22,1714053823582,1714053831753,1714053856556,1714053867494,1714053873681,1714053895520
23,23,1714053744806,1714053752548,1714053761781,1714053764164,1714053802338,23,1714053823582,1714053827605,1714053840966,1714053849911,1714053857226,1714053895520
24,24,1714053744806,1714053752961,1714053761563,1714053763637,1714053798829,24,1714053823582,1714053830283,1714053844319,1714053853055,1714053860987,1714053895520
25,25,1714053744806,1714053751807,1714053760840,1714053762904,1714053798149,25,1714053823582,1714053832186,1714053855615,1714053863123,1714053871834,1714053895520
26,26,1714053744806,1714053752104,1714053761987,1714053764618,1714053801795,26,1714053823582,1714053832588,1714053849394,1714053862562,1714053875060,1714053895520
27,27,1714053744806,1714053753008,1714053762155,1714053764393,1714053801600,27,1714053823582,1714053831523,1714053846883,1714053858710,1714053867606,1714053895520
28,28,1714053744806,1714053752965,1714053762262,1714053764425,1714053803684,28,1714053823582,1714053833115,1714053849144,1714053857857,1714053867756,1714053895520
29,29,1714053744806,1714053753245,1714053763273,1714053765397,1714053805883,29,1714053823582,1714053832087,1714053846761,1714053856241,1714053863734,1714053895520
30,30,1714053744806,1714053753418,1714053763807,1714053766095,1714053805319,30,1714053823582,1714053832976,1714053849046,1714053860309,1714053868490,1714053895520
31,31,1714053744806,1714053754696,1714053763770,1714053765797,1714053805206,31,1714053823582,1714053832084,1714053846279,1714053854250,1714053861333,1714053895520
32,32,1714053744806,1714053754110,1714053765552,1714053768234,1714053812515,32,1714053823582,1714053832489,1714053846614,1714053852991,1714053859610,1714053895520
33,33,1714053744806,1714053754381,1714053764370,1714053766781,1714053815517,33,1714053823582,1714053834279,1714053851751,1714053860767,1714053870115,1714053895520
34,34,1714053744806,1714053753908,1714053764925,1714053767281,1714053817272,34,1714053823582,1714053834579,1714053853777,1714053866563,1714053874126,1714053895520
35,35,1714053744806,1714053754804,1714053764732,1714053767174,1714053807045,35,1714053823582,1714053833485,1714053849126,1714053858063,1714053868339,1714053895520
36,36,1714053744806,1714053753583,1714053763409,1714053765831,1714053805092,36,1714053823582,1714053833374,1714053850164,1714053862289,1714053873869,1714053895520
37,37,1714053744806,1714053753943,1714053765241,1714053767634,1714053812580,37,1714053823582,1714053833915,1714053851050,1714053859600,1714053866585,1714053895520
38,38,1714053744806,1714053754208,1714053763788,1714053766526,1714053813920,38,1714053823582,1714053834620,1714053853720,1714053865912,1714053877515,1714053895520
39,39,1714053744806,1714053755061,1714053764417,1714053766819,1714053811527,39,1714053823582,1714053833779,1714053854416,1714053862620,1714053872194,1714053895520
40,40,1714053744806,1714053755954,1714053766669,1714053769840,1714053814252,40,1714053823582,1714053834279,1714053852406,1714053863629,1714053871904,1714053895520
41,41,1714053744806,1714053755765,1714053765928,1714053768739,1714053813948,41,1714053823582,1714053833643,1714053857803,1714053865836,1714053873643,1714053895520
42,42,1714053744806,1714053755441,1714053765506,1714053767930,1714053815695,42,1714053823582,1714053834886,1714053853117,1714053864363,1714053872263,1714053895520
43,43,1714053744806,1714053755094,1714053764722,1714053767218,1714053820413,43,1714053823582,1714053833247,1714053849880,1714053861086,1714053872213,1714053895520
44,44,1714053744806,1714053754987,1714053763778,1714053766411,1714053810723,44,1714053823582,1714053835165,1714053853854,1714053863635,1714053870705,1714053895520
45,45,1714053744806,1714053755621,1714053765626,1714053768795,1714053820921,45,1714053823582,1714053835770,1714053864715,1714053873285,1714053877796,1714053895520
46,46,1714053744806,1714053755282,1714053765266,1714053767806,1714053820598,46,1714053823582,1714053835289,1714053855578,1714053869153,1714053875016,1714053895520
47,47,1714053744806,1714053756160,1714053764849,1714053767467,1714053812809,47,1714053823582,1714053835765,1714053863805,1714053873259,1714053878534,1714053895520
48,48,1714053744806,1714053757183,1714053766530,1714053768957,1714053820676,48,1714053823582,1714053836358,1714053856656,1714053864041,1714053870293,1714053895520
49,49,1714053744806,1714053759234,1714053768857,1714053771607,1714053815178,49,1714053823582,1714053836056,1714053854093,1714053860487,1714053868839,1714053895520
50,50,1714053744806,1714053756332,1714053766769,1714053769453,1714053821877,50,1714053823582,1714053836053,1714053856760,1714053867716,1714053876137,1714053895520
51,51,1714053744806,1714053758911,1714053768912,1714053772008,1714053812746,51,1714053823582,1714053835427,1714053853782,1714053864849,1714053872269,1714053895520
52,52,1714053744806,1714053756861,1714053767229,1714053770023,1714053813640,52,1714053823582,1714053836356,1714053857722,1714053869504,1714053878930,1714053895520
53,53,1714053744806,1714053757661,1714053767162,1714053769979,1714053820344,53,1714053823582,1714053834882,1714053852733,1714053861690,1714053868769,1714053895520
54,54,1714053744806,1714053756009,1714053765487,1714053767759,1714053812485,54,1714053823582,1714053835079,1714053853368,1714053861768,1714053870310,1714053895520
55,55,1714053744806,1714053759019,1714053769149,1714053771836,1714053812688,55,1714053823582,1714053836699,1714053857243,1714053867398,1714053873944,1714053895520
56,56,1714053744806,1714053756988,1714053767097,1714053769947,1714053813429,56,1714053823582,1714053837068,1714053859913,1714053872144,1714053880937,1714053895520
57,57,1714053744806,1714053757826,1714053767148,1714053769698,1714053812573,57,1714053823582,1714053836979,1714053857584,1714053866040,1714053871576,1714053895520
58,58,1714053744806,1714053758149,1714053766957,1714053769749,1714053813929,58,1714053823582,1714053837411,1714053865916,1714053875103,1714053882266,1714053895520
59,59,1714053744806,1714053756685,1714053766988,1714053769623,1714053813485,59,1714053823582,1714053837165,1714053859134,1714053870816,1714053877002,1714053895520
60,60,1714053744806,1714053758890,1714053769176,1714053772206,1714053812602,60,1714053823582,1714053836538,1714053855323,1714053862081,1714053869845,1714053895520
61,61,1714053744806,1714053758439,1714053768128,1714053770686,1714053820601,61,1714053823582,1714053837329,1714053858388,1714053866600,1714053871959,1714053895520
62,62,1714053744806,1714053756902,1714053766433,1714053768890,1714053813979,62,1714053823582,1714053838836,1714053866494,1714053874462,1714053879283,1714053895520
63,63,1714053744806,1714053757661,1714053769268,1714053772002,1714053813483,63,1714053823582,1714053838061,1714053859432,1714053868474,1714053876834,1714053895520
64,64,1714053744806,1714053757997,1714053767837,1714053770623,1714053814950,64,1714053823582,1714053838599,1714053867015,1714053877222,1714053886509,1714053895520
65,65,1714053744806,1714053758522,1714053768000,1714053770803,1714053822082,65,1714053823582,1714053838389,1714053860898,1714053870358,1714053878071,1714053895520
66,66,1714053744806,1714053756507,1714053765789,1714053768333,1714053812685,66,1714053823582,1714053839085,1714053866713,1714053873753,1714053877619,1714053895520
67,67,1714053744806,1714053757409,1714053767749,1714053770242,1714053812630,67,1714053823582,1714053837542,1714053865637,1714053873618,1714053880780,1714053895520
68,68,1714053744806,1714053758405,1714053768058,1714053770648,1714053812485,68,1714053823582,1714053838397,1714053862361,1714053874017,1714053879822,1714053895520
69,69,1714053744806,1714053760876,1714053770382,1714053773228,1714053820813,69,1714053823582,1714053838862,1714053867308,1714053875421,1714053881258,1714053895520
70,70,1714053744806,1714053760229,1714053770966,1714053773967,1714053812788,70,1714053823582,1714053837954,1714053866997,1714053877232,1714053886792,1714053895520
71,71,1714053744806,1714053759781,1714053770250,1714053773115,1714053815240,71,1714053823582,1714053837756,1714053860561,1714053871688,1714053877347,1714053895520
72,72,1714053744806,1714053757314,1714053767096,1714053769746,1714053814194,72,1714053823582,1714053838960,1714053867135,1714053875454,1714053884100,1714053895520
73,73,1714053744806,1714053761143,1714053770472,1714053773148,1714053814478,73,1714053823582,1714053842846,1714053869052,1714053876258,1714053881730,1714053895520
74,74,1714053744806,1714053760751,1714053770305,1714053773272,1714053812698,74,1714053823582,1714053839745,1714053867065,1714053876912,1714053882207,1714053895520
75,75,1714053744806,1714053761557,1714053771095,1714053773984,1714053813463,75,1714053823582,1714053841004,1714053868866,1714053879177,1714053890775,1714053895520
76,76,1714053744806,1714053760440,1714053769870,1714053772674,1714053815297,76,1714053823582,1714053840583,1714053867834,1714053877283,1714053885665,1714053895520
77,77,1714053744806,1714053761405,1714053771629,1714053774260,1714053812685,77,1714053823582,1714053841710,1714053868752,1714053878161,1714053887534,1714053895520
78,78,1714053744806,1714053761776,1714053770811,1714053773561,1714053814196,78,1714053823582,1714053842683,1714053868378,1714053877556,1714053882660,1714053895520
79,79,1714053744806,1714053759400,1714053769385,1714053772518,1714053814746,79,1714053823582,1714053840707,1714053867382,1714053875043,1714053883043,1714053895520
80,80,1714053744806,1714053761147,1714053771976,1714053774752,1714053813995,80,1714053823582,1714053840859,1714053867946,1714053875322,1714053880814,1714053895520
81,81,1714053744806,1714053760055,1714053770315,1714053773421,1714053814732,81,1714053823582,1714053842492,1714053868390,1714053878019,1714053884259,1714053895520
82,82,1714053744806,1714053759721,1714053770736,1714053773614,1714053819676,82,1714053823582,1714053841412,1714053868524,1714053877200,1714053882838,1714053895520
83,83,1714053744806,1714053762460,1714053772908,1714053775928,1714053815623,83,1714053823582,1714053841747,1714053868691,1714053878087,1714053890378,1714053895520
84,84,1714053744806,1714053763666,1714053772313,1714053775067,1714053812732,84,1714053823582,1714053840382,1714053866023,1714053872705,1714053877379,1714053895520
85,85,1714053744806,1714053762618,1714053772921,1714053776062,1714053812686,85,1714053823582,1714053841924,1714053867979,1714053874193,1714053878283,1714053895520
86,86,1714053744806,1714053761991,1714053771367,1714053774292,1714053814989,86,1714053823582,1714053840583,1714053868908,1714053878010,1714053887916,1714053895520
87,87,1714053744806,1714053763049,1714053773415,1714053776466,1714053812736,87,1714053823582,1714053841169,1714053867743,1714053874797,1714053880612,1714053895520
88,88,1714053744806,1714053762143,1714053773017,1714053776075,1714053814026,88,1714053823582,1714053842102,1714053869997,1714053879152,1714053890486,1714053895520
89,89,1714053744806,1714053763213,1714053775379,1714053778447,1714053813782,89,1714053823582,1714053842571,1714053868980,1714053878446,1714053885806,1714053895520
90,90,1714053744806,1714053763101,1714053772977,1714053775812,1714053813691,90,1714053823582,1714053840090,1714053868063,1714053877098,1714053885367,1714053895520
91,91,1714053744806,1714053762990,1714053772690,1714053775748,1714053813735,91,1714053823582,1714053839891,1714053864313,1714053874692,1714053881885,1714053895520
92,92,1714053744806,1714053764320,1714053775003,1714053777869,1714053812797,92,1714053823582,1714053842250,1714053868469,1714053876039,1714053881584,1714053895520
93,93,1714053744806,1714053763672,1714053774057,1714053776743,1714053814965,93,1714053823582,1714053839610,1714053867033,1714053875176,1714053880575,1714053895520
94,94,1714053744806,1714053764280,1714053775911,1714053779125,1714053815218,94,1714053823582,1714053839607,1714053862530,1714053870952,1714053876679,1714053895520
95,95,1714053744806,1714053764325,1714053774014,1714053777339,1714053813937,95,1714053823582,1714053839241,1714053860446,1714053869158,1714053873970,1714053895520
96,96,1714053744806,1714053753770,1714053763710,1714053765716,1714053802900,96,1714053823582,1714053832710,1714053848411,1714053857151,1714053867641,1714053895520
97,97,1714053744806,1714053751004,1714053760946,1714053762738,1714053788899,97,1714053823582,1714053831976,1714053847627,1714053858022,1714053869057,1714053895520
98,98,1714053744806,1714053750598,1714053761209,1714053762925,1714053791104,98,1714053823582,1714053830645,1714053844511,1714053852572,1714053858957,1714053895520
99,99,1714053744806,1714053749184,1714053758650,1714053759925,1714053768106,99,1714053823582,1714053830354,1714053844738,1714053856484,1714053865357,1714053895520
100,100,1714053744806,1714053752907,1714053762403,1714053764223,1714053797483,100,1714053823582,1714053830901,1714053844545,1714053851893,1714053858340,1714053895520
101,101,1714053744806,1714053753408,1714053762882,1714053764814,1714053799007,101,1714053823582,1714053830723,1714053845389,1714053854712,1714053862737,1714053895520
102,102,1714053744806,1714053754303,1714053764244,1714053766737,1714053805007,102,1714053823582,1714053828689,1714053842078,1714053849862,1714053858257,1714053895520
103,103,1714053744806,1714053751599,1714053760456,1714053762039,1714053787176,103,1714053823582,1714053831214,1714053846307,1714053856860,1714053867542,1714053895520
104,104,1714053744806,1714053753394,1714053762844,1714053764815,1714053799997,104,1714053823582,1714053829684,1714053843855,1714053855490,1714053863963,1714053895520
105,105,1714053744806,1714053749844,1714053759115,1714053760403,1714053770616,105,1714053823582,1714053832605,1714053849797,1714053861295,1714053869627,1714053895520
106,106,1714053744806,1714053753144,1714053765125,1714053767666,1714053806928,106,1714053823582,1714053831129,1714053845672,1714053854113,1714053865339,1714053895520
107,107,1714053744806,1714053752552,1714053761859,1714053763619,1714053794781,107,1714053823582,1714053828863,1714053841916,1714053849678,1714053863852,1714053895520
108,108,1714053744806,1714053755706,1714053765444,1714053767878,1714053811343,108,1714053823582,1714053829226,1714053842548,1714053851057,1714053858753,1714053895520
