end_fn,init_fn,key,part_number,post_download,post_shuffle,pre_shuffle,pre_upload,fn_id,host_submit
1713779441027,1713779386685,terasort-100g.sorted,0,1713779399028,1713779424038,1713779401328,1713779436200,0,1713779386683
1713779461841,1713779386684,terasort-100g.sorted,1,1713779395219,1713779443251,1713779398319,1713779454057,1,1713779386683
1713779439808,1713779386684,terasort-100g.sorted,2,1713779397999,1713779424049,1713779403215,1713779434657,2,1713779386683
1713779439520,1713779386683,terasort-100g.sorted,3,1713779392158,1713779423556,1713779397761,1713779433842,3,1713779386683
1713779449528,1713779386683,terasort-100g.sorted,4,1713779395322,1713779432873,1713779412477,1713779442592,4,1713779386683
1713779440530,1713779386683,terasort-100g.sorted,5,1713779396005,1713779424004,1713779412072,1713779435071,5,1713779386683
1713779440389,1713779386683,terasort-100g.sorted,6,1713779398074,1713779423977,1713779402135,1713779435071,6,1713779386683
1713779450408,1713779386684,terasort-100g.sorted,7,1713779398935,1713779428076,1713779401267,1713779443691,7,1713779386683
1713779448980,1713779386684,terasort-100g.sorted,8,1713779398241,1713779432319,1713779400098,1713779441475,8,1713779386683
1713779452719,1713779386686,terasort-100g.sorted,9,1713779398090,1713779431757,1713779402182,1713779444568,9,1713779386683
1713779449236,1713779386686,terasort-100g.sorted,10,1713779396232,1713779429162,1713779411146,1713779440444,10,1713779386683
1713779431158,1713779386684,terasort-100g.sorted,11,1713779395855,1713779422488,1713779412474,1713779427817,11,1713779386683
1713779449096,1713779386685,terasort-100g.sorted,12,1713779397025,1713779432294,1713779410334,1713779443571,12,1713779386683
1713779439326,1713779386683,terasort-100g.sorted,13,1713779399979,1713779423513,1713779401752,1713779433882,13,1713779386683
1713779441528,1713779386684,terasort-100g.sorted,14,1713779394403,1713779423598,1713779398168,1713779435234,14,1713779386683
1713779441422,1713779386685,terasort-100g.sorted,15,1713779396804,1713779424112,1713779409259,1713779435891,15,1713779386683
1713779445465,1713779386686,terasort-100g.sorted,16,1713779398050,1713779425825,1713779402040,1713779437107,16,1713779386683
1713779452325,1713779386687,terasort-100g.sorted,17,1713779395377,1713779429810,1713779412510,1713779443126,17,1713779386683
1713779440660,1713779386684,terasort-100g.sorted,18,1713779392326,1713779424830,1713779397513,1713779435593,18,1713779386683
1713779442180,1713779386683,terasort-100g.sorted,19,1713779396991,1713779427275,1713779410344,1713779434809,19,1713779386683
1713779440812,1713779386684,terasort-100g.sorted,20,1713779396398,1713779424182,1713779399051,1713779435383,20,1713779386683
1713779449793,1713779386685,terasort-100g.sorted,21,1713779395843,1713779431729,1713779412470,1713779444105,21,1713779386683
1713779444243,1713779386687,terasort-100g.sorted,22,1713779395814,1713779430845,1713779412483,1713779439392,22,1713779386683
1713779446824,1713779386685,terasort-100g.sorted,23,1713779395638,1713779428895,1713779412606,1713779441408,23,1713779386683
1713779442034,1713779386684,terasort-100g.sorted,24,1713779397701,1713779424548,1713779409214,1713779436316,24,1713779386683
1713779441063,1713779386685,terasort-100g.sorted,25,1713779395795,1713779427275,1713779412474,1713779436067,25,1713779386683
1713779436284,1713779386685,terasort-100g.sorted,26,1713779399402,1713779424397,1713779401290,1713779432073,26,1713779386683
1713779449768,1713779386686,terasort-100g.sorted,27,1713779398204,1713779433111,1713779400252,1713779444836,27,1713779386683
1713779452742,1713779386686,terasort-100g.sorted,28,1713779397982,1713779436452,1713779405627,1713779445962,28,1713779386683
