end_fn,init_fn,key,part_number,post_download,post_shuffle,pre_shuffle,pre_upload,fn_id,host_submit
1713779318095,1713779262772,terasort-100g.sorted,0,1713779271867,1713779299523,1713779287572,1713779310213,0,1713779262769
1713779334614,1713779262771,terasort-100g.sorted,1,1713779273600,1713779319167,1713779282752,1713779329416,1,1713779262769
1713779321252,1713779262769,terasort-100g.sorted,2,1713779271230,1713779304528,1713779287458,1713779315851,2,1713779262769
1713779319361,1713779262771,terasort-100g.sorted,3,1713779271971,1713779300265,1713779287580,1713779311130,3,1713779262769
1713779315321,1713779262770,terasort-100g.sorted,4,1713779272240,1713779303957,1713779287510,1713779311038,4,1713779262769
1713779315738,1713779262770,terasort-100g.sorted,5,1713779274992,1713779299839,1713779276910,1713779309963,5,1713779262769
1713779323950,1713779262771,terasort-100g.sorted,6,1713779274062,1713779307600,1713779277739,1713779318911,6,1713779262769
1713779328886,1713779262770,terasort-100g.sorted,7,1713779273423,1713779306843,1713779283060,1713779322851,7,1713779262769
1713779323986,1713779262769,terasort-100g.sorted,8,1713779271958,1713779309007,1713779287635,1713779318869,8,1713779262769
1713779326486,1713779262769,terasort-100g.sorted,9,1713779272528,1713779307724,1713779287348,1713779319987,9,1713779262769
1713779317180,1713779262769,terasort-100g.sorted,10,1713779271439,1713779301151,1713779287788,1713779311682,10,1713779262769
1713779308711,1713779262771,terasort-100g.sorted,11,1713779270300,1713779298346,1713779287513,1713779303572,11,1713779262769
1713779322552,1713779262771,terasort-100g.sorted,12,1713779270085,1713779305634,1713779273756,1713779316663,12,1713779262769
1713779316368,1713779262770,terasort-100g.sorted,13,1713779273212,1713779300659,1713779284647,1713779310829,13,1713779262769
1713779315256,1713779262770,terasort-100g.sorted,14,1713779273362,1713779300215,1713779283396,1713779310761,14,1713779262769
1713779321492,1713779262771,terasort-100g.sorted,15,1713779271017,1713779302966,1713779287548,1713779315070,15,1713779262769
1713779329856,1713779262770,terasort-100g.sorted,16,1713779273845,1713779311877,1713779279180,1713779324659,16,1713779262769
1713779320662,1713779262771,terasort-100g.sorted,17,1713779270915,1713779302370,1713779274042,1713779314412,17,1713779262769
1713779336002,1713779262771,terasort-100g.sorted,18,1713779272794,1713779321231,1713779274935,1713779331126,18,1713779262769
1713779312433,1713779262773,terasort-100g.sorted,19,1713779270943,1713779300527,1713779273971,1713779307579,19,1713779262769
1713779319670,1713779262771,terasort-100g.sorted,20,1713779271622,1713779300460,1713779287604,1713779311436,20,1713779262769
1713779328571,1713779262771,terasort-100g.sorted,21,1713779273388,1713779311049,1713779283407,1713779322891,21,1713779262769
1713779311460,1713779262771,terasort-100g.sorted,22,1713779269922,1713779299842,1713779273820,1713779307107,22,1713779262769
1713779322301,1713779262772,terasort-100g.sorted,23,1713779274087,1713779301527,1713779277760,1713779316338,23,1713779262769
1713779331397,1713779262772,terasort-100g.sorted,24,1713779273976,1713779316838,1713779278065,1713779326549,24,1713779262769
1713779321404,1713779262772,terasort-100g.sorted,25,1713779273956,1713779307395,1713779278690,1713779315806,25,1713779262769
1713779332783,1713779262772,terasort-100g.sorted,26,1713779272621,1713779317510,1713779286946,1713779325988,26,1713779262769
1713779328843,1713779262773,terasort-100g.sorted,27,1713779273911,1713779312929,1713779279163,1713779323616,27,1713779262769
1713779336177,1713779262773,terasort-100g.sorted,28,1713779273993,1713779322692,1713779278739,1713779329200,28,1713779262769
1713779323221,1713779262771,terasort-100g.sorted,29,1713779273810,1713779305029,1713779280318,1713779317723,29,1713779262769
1713779317545,1713779262772,terasort-100g.sorted,30,1713779274979,1713779304099,1713779276978,1713779312391,30,1713779262769
1713779323247,1713779262775,terasort-100g.sorted,31,1713779274046,1713779306396,1713779277804,1713779317568,31,1713779262769
1713779335538,1713779262773,terasort-100g.sorted,32,1713779274391,1713779321909,1713779276509,1713779330908,32,1713779262769
1713779332205,1713779262776,terasort-100g.sorted,33,1713779273442,1713779315772,1713779283399,1713779325993,33,1713779262769
1713779329931,1713779262773,terasort-100g.sorted,34,1713779275091,1713779314933,1713779276875,1713779325007,34,1713779262769
1713779332637,1713779262774,terasort-100g.sorted,35,1713779271591,1713779311877,1713779287516,1713779325066,35,1713779262769
1713779325923,1713779262774,terasort-100g.sorted,36,1713779275179,1713779307453,1713779277086,1713779319973,36,1713779262769
1713779323015,1713779262774,terasort-100g.sorted,37,1713779273295,1713779303434,1713779283761,1713779314813,37,1713779262769
1713779326602,1713779262774,terasort-100g.sorted,38,1713779270420,1713779309035,1713779287508,1713779320313,38,1713779262769
1713779323655,1713779262774,terasort-100g.sorted,39,1713779271332,1713779305303,1713779274050,1713779317250,39,1713779262769
1713779318191,1713779262773,terasort-100g.sorted,40,1713779273239,1713779301977,1713779284230,1713779313347,40,1713779262769
1713779323397,1713779262772,terasort-100g.sorted,41,1713779271679,1713779304179,1713779287598,1713779317371,41,1713779262769
1713779322503,1713779262775,terasort-100g.sorted,42,1713779271906,1713779303462,1713779287578,1713779316562,42,1713779262769
1713779327613,1713779262775,terasort-100g.sorted,43,1713779273150,1713779306626,1713779287002,1713779320891,43,1713779262769
1713779327093,1713779262775,terasort-100g.sorted,44,1713779270347,1713779306046,1713779273806,1713779319701,44,1713779262769
1713779335224,1713779262772,terasort-100g.sorted,45,1713779274259,1713779318773,1713779276502,1713779329706,45,1713779262769
1713779309616,1713779262772,terasort-100g.sorted,46,1713779274949,1713779298200,1713779277561,1713779304210,46,1713779262769
1713779319897,1713779262775,terasort-100g.sorted,47,1713779275456,1713779305117,1713779277092,1713779313805,47,1713779262769
1713779319540,1713779262776,terasort-100g.sorted,48,1713779272157,1713779304063,1713779287498,1713779314609,48,1713779262769
1713779332578,1713779262773,terasort-100g.sorted,49,1713779274432,1713779320513,1713779276242,1713779328604,49,1713779262769
1713779328000,1713779262779,terasort-100g.sorted,50,1713779271741,1713779311510,1713779287483,1713779323117,50,1713779262769
1713779319780,1713779262776,terasort-100g.sorted,51,1713779269584,1713779302796,1713779287605,1713779313805,51,1713779262769
1713779333434,1713779262776,terasort-100g.sorted,52,1713779274014,1713779317980,1713779278274,1713779326325,52,1713779262769
1713779334011,1713779262776,terasort-100g.sorted,53,1713779273276,1713779318888,1713779283792,1713779327489,53,1713779262769
1713779319193,1713779262779,terasort-100g.sorted,54,1713779274082,1713779303309,1713779277777,1713779311369,54,1713779262769
1713779318375,1713779262779,terasort-100g.sorted,55,1713779271500,1713779302613,1713779287562,1713779313352,55,1713779262769
1713779320173,1713779262779,terasort-100g.sorted,56,1713779270470,1713779302326,1713779273819,1713779314659,56,1713779262769
1713779326834,1713779262779,terasort-100g.sorted,57,1713779273375,1713779307588,1713779283401,1713779319998,57,1713779262769
1713779321789,1713779262779,terasort-100g.sorted,58,1713779272288,1713779304346,1713779287494,1713779316238,58,1713779262769
1713779319502,1713779262780,terasort-100g.sorted,59,1713779269824,1713779302583,1713779287588,1713779314275,59,1713779262769
1713779323588,1713779262779,terasort-100g.sorted,60,1713779273615,1713779306729,1713779281834,1713779318534,60,1713779262769
1713779316269,1713779262779,terasort-100g.sorted,61,1713779272182,1713779304115,1713779287506,1713779312168,61,1713779262769
1713779314072,1713779262780,terasort-100g.sorted,62,1713779272202,1713779301728,1713779287550,1713779310048,62,1713779262769
1713779321277,1713779262780,terasort-100g.sorted,63,1713779273000,1713779303588,1713779287414,1713779315520,63,1713779262769
1713779312909,1713779262779,terasort-100g.sorted,64,1713779272108,1713779300907,1713779287523,1713779308489,64,1713779262769
1713779318218,1713779262780,terasort-100g.sorted,65,1713779271931,1713779304283,1713779287589,1713779311515,65,1713779262769
1713779320456,1713779262783,terasort-100g.sorted,66,1713779270261,1713779300780,1713779273965,1713779314337,66,1713779262769
1713779307183,1713779262780,terasort-100g.sorted,67,1713779274038,1713779298063,1713779277774,1713779303704,67,1713779262769
1713779315652,1713779262783,terasort-100g.sorted,68,1713779271244,1713779301659,1713779274145,1713779310391,68,1713779262769
1713779321963,1713779262781,terasort-100g.sorted,69,1713779269392,1713779305247,1713779287511,1713779314384,69,1713779262769
1713779317412,1713779262781,terasort-100g.sorted,70,1713779269883,1713779303128,1713779273969,1713779311750,70,1713779262769
1713779323619,1713779262781,terasort-100g.sorted,71,1713779271545,1713779304878,1713779287617,1713779316671,71,1713779262769
1713779317877,1713779262781,terasort-100g.sorted,72,1713779272653,1713779304229,1713779281854,1713779313039,72,1713779262769
1713779321472,1713779262781,terasort-100g.sorted,73,1713779273099,1713779304344,1713779286927,1713779315853,73,1713779262769
1713779335570,1713779262780,terasort-100g.sorted,74,1713779272408,1713779325018,1713779287570,1713779330990,74,1713779262769
1713779320123,1713779262782,terasort-100g.sorted,75,1713779273257,1713779305231,1713779283815,1713779314492,75,1713779262769
1713779317630,1713779262780,terasort-100g.sorted,76,1713779273164,1713779303599,1713779284702,1713779312638,76,1713779262769
1713779334179,1713779262784,terasort-100g.sorted,77,1713779269871,1713779319439,1713779272355,1713779329256,77,1713779262769
1713779311264,1713779262783,terasort-100g.sorted,78,1713779271890,1713779299146,1713779287568,1713779306004,78,1713779262769
1713779320501,1713779262781,terasort-100g.sorted,79,1713779273349,1713779306202,1713779283392,1713779314936,79,1713779262769
1713779326331,1713779262783,terasort-100g.sorted,80,1713779273394,1713779307390,1713779283389,1713779319357,80,1713779262769
1713779308782,1713779262783,terasort-100g.sorted,81,1713779275215,1713779298859,1713779276920,1713779305186,81,1713779262769
1713779316240,1713779262783,terasort-100g.sorted,82,1713779272275,1713779303860,1713779287596,1713779312121,82,1713779262769
1713779317368,1713779262782,terasort-100g.sorted,83,1713779271204,1713779302592,1713779287584,1713779311769,83,1713779262769
1713779320306,1713779262782,terasort-100g.sorted,84,1713779273600,1713779305047,1713779282173,1713779314363,84,1713779262769
1713779337069,1713779262782,terasort-100g.sorted,85,1713779274379,1713779321152,1713779276558,1713779331668,85,1713779262769
1713779325839,1713779262783,terasort-100g.sorted,86,1713779273044,1713779306524,1713779284647,1713779319013,86,1713779262769
1713779325695,1713779262783,terasort-100g.sorted,87,1713779269839,1713779309443,1713779274144,1713779319517,87,1713779262769
1713779333779,1713779262783,terasort-100g.sorted,88,1713779273507,1713779320796,1713779282996,1713779329590,88,1713779262769
1713779320990,1713779262783,terasort-100g.sorted,89,1713779271289,1713779304320,1713779274149,1713779314498,89,1713779262769
1713779332818,1713779262783,terasort-100g.sorted,90,1713779272735,1713779316717,1713779275083,1713779327464,90,1713779262769
1713779322367,1713779262783,terasort-100g.sorted,91,1713779274585,1713779306846,1713779276551,1713779316727,91,1713779262769
1713779334839,1713779262784,terasort-100g.sorted,92,1713779274024,1713779318412,1713779277985,1713779327687,92,1713779262769
1713779315611,1713779262783,terasort-100g.sorted,93,1713779273633,1713779302391,1713779281400,1713779310478,93,1713779262769
1713779317330,1713779262783,terasort-100g.sorted,94,1713779273880,1713779303404,1713779279185,1713779312298,94,1713779262769
1713779328508,1713779262784,terasort-100g.sorted,95,1713779274409,1713779313998,1713779276421,1713779323707,95,1713779262769
1713779305636,1713779262924,terasort-100g.sorted,96,1713779273781,1713779297944,1713779278283,1713779302246,96,1713779262769
1713779314277,1713779262924,terasort-100g.sorted,97,1713779273346,1713779300756,1713779282128,1713779309545,97,1713779262769
1713779323106,1713779262924,terasort-100g.sorted,98,1713779273829,1713779308015,1713779278285,1713779318690,98,1713779262769
1713779324129,1713779262924,terasort-100g.sorted,99,1713779273090,1713779304411,1713779285805,1713779318001,99,1713779262769
1713779331011,1713779262924,terasort-100g.sorted,100,1713779273033,1713779311799,1713779286690,1713779324562,100,1713779262769
1713779321331,1713779262924,terasort-100g.sorted,101,1713779274998,1713779305312,1713779276995,1713779315685,101,1713779262769
1713779322585,1713779262925,terasort-100g.sorted,102,1713779271423,1713779306048,1713779274282,1713779315574,102,1713779262769
1713779320689,1713779262925,terasort-100g.sorted,103,1713779271515,1713779302929,1713779274302,1713779312849,103,1713779262769
1713779314172,1713779262925,terasort-100g.sorted,104,1713779273756,1713779300982,1713779279942,1713779309401,104,1713779262769
1713779316500,1713779262925,terasort-100g.sorted,105,1713779273263,1713779300654,1713779285331,1713779310188,105,1713779262769
1713779318628,1713779262925,terasort-100g.sorted,106,1713779274515,1713779301358,1713779276831,1713779313112,106,1713779262769
1713779320190,1713779262925,terasort-100g.sorted,107,1713779272196,1713779300570,1713779288829,1713779311639,107,1713779262769
1713779313927,1713779262924,terasort-100g.sorted,108,1713779274295,1713779300599,1713779277615,1713779309267,108,1713779262769
1713779327114,1713779262927,terasort-100g.sorted,109,1713779274936,1713779307004,1713779277189,1713779320962,109,1713779262769
1713779325528,1713779262925,terasort-100g.sorted,110,1713779273303,1713779308355,1713779284401,1713779320404,110,1713779262769
1713779318369,1713779262925,terasort-100g.sorted,111,1713779274407,1713779302657,1713779276730,1713779312883,111,1713779262769
1713779318879,1713779262925,terasort-100g.sorted,112,1713779273241,1713779306037,1713779285807,1713779314555,112,1713779262769
1713779330873,1713779262924,terasort-100g.sorted,113,1713779272318,1713779313455,1713779289344,1713779323905,113,1713779262769
1713779317587,1713779262927,terasort-100g.sorted,114,1713779273706,1713779304538,1713779280834,1713779312493,114,1713779262769
1713779316913,1713779262926,terasort-100g.sorted,115,1713779272625,1713779304355,1713779289184,1713779311921,115,1713779262769
1713779328712,1713779262926,terasort-100g.sorted,116,1713779272902,1713779310631,1713779287764,1713779323519,116,1713779262769
1713779319607,1713779262926,terasort-100g.sorted,117,1713779271281,1713779304719,1713779289191,1713779314120,117,1713779262769
1713779316765,1713779262926,terasort-100g.sorted,118,1713779273743,1713779304239,1713779280139,1713779312600,118,1713779262769
