fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1714053846226,1714053852805,1714053867716,1714053878925,1714053888267,1714053914786
1,1714053846226,1714053853396,1714053868348,1714053876075,1714053885277,1714053914786
2,1714053846226,1714053851784,1714053865335,1714053875992,1714053887369,1714053914786
3,1714053846226,1714053852996,1714053866499,1714053873175,1714053880410,1714053914786
4,1714053846226,1714053850838,1714053864467,1714053874647,1714053882900,1714053914786
5,1714053846226,1714053850539,1714053863969,1714053874863,1714053886904,1714053914786
6,1714053846226,1714053853282,1714053867686,1714053877477,1714053885341,1714053914786
7,1714053846226,1714053852459,1714053866698,1714053876047,1714053883981,1714053914786
8,1714053846226,1714053854246,1714053869406,1714053877938,1714053888444,1714053914786
9,1714053846226,1714053851375,1714053864820,1714053874742,1714053881785,1714053914786
10,1714053846226,1714053854056,1714053870017,1714053878533,1714053886102,1714053914786
11,1714053846226,1714053850841,1714053863888,1714053871948,1714053879068,1714053914786
12,1714053846226,1714053853550,1714053876415,1714053885278,1714053894642,1714053914786
13,1714053846226,1714053852316,1714053866241,1714053874521,1714053880763,1714053914786
14,1714053846226,1714053852352,1714053866100,1714053874408,1714053881993,1714053914786
15,1714053846226,1714053850371,1714053864312,1714053876074,1714053886281,1714053914786
16,1714053846226,1714053854682,1714053870950,1714053882375,1714053894641,1714053914786
17,1714053846226,1714053851098,1714053865145,1714053875577,1714053884429,1714053914786
18,1714053846226,1714053853044,1714053867851,1714053877155,1714053888056,1714053914786
19,1714053846226,1714053851195,1714053864398,1714053871828,1714053878262,1714053914786
20,1714053846226,1714053852251,1714053866181,1714053875164,1714053883392,1714053914786
21,1714053846226,1714053851103,1714053864658,1714053875820,1714053884731,1714053914786
22,1714053846226,1714053852639,1714053867314,1714053877861,1714053887118,1714053914786
23,1714053846226,1714053853758,1714053869133,1714053878969,1714053889037,1714053914786
24,1714053846226,1714053854415,1714053869828,1714053879160,1714053890069,1714053914786
25,1714053846226,1714053854479,1714053869820,1714053877799,1714053886926,1714053914786
26,1714053846226,1714053853905,1714053871097,1714053884275,1714053894812,1714053914786
27,1714053846226,1714053854684,1714053871671,1714053885110,1714053895927,1714053914786
28,1714053846226,1714053856283,1714053874055,1714053882886,1714053893659,1714053914786
29,1714053846226,1714053855339,1714053872325,1714053881657,1714053889905,1714053914786
30,1714053846226,1714053855963,1714053874407,1714053886264,1714053897314,1714053914786
31,1714053846226,1714053854856,1714053870526,1714053878878,1714053888873,1714053914786
32,1714053846226,1714053855096,1714053871074,1714053877835,1714053885126,1714053914786
33,1714053846226,1714053855989,1714053873805,1714053882642,1714053892710,1714053914786
34,1714053846226,1714053855398,1714053873658,1714053885012,1714053893080,1714053914786
35,1714053846226,1714053855717,1714053872818,1714053880983,1714053887485,1714053914786
36,1714053846226,1714053855007,1714053872104,1714053883922,1714053896904,1714053914786
37,1714053846226,1714053856115,1714053873577,1714053883324,1714053890612,1714053914786
38,1714053846226,1714053857478,1714053877350,1714053889889,1714053896879,1714053914786
39,1714053846226,1714053857093,1714053875563,1714053883590,1714053890506,1714053914786
40,1714053846226,1714053856946,1714053876001,1714053887551,1714053895563,1714053914786
41,1714053846226,1714053856497,1714053873866,1714053882288,1714053888803,1714053914786
42,1714053846226,1714053856945,1714053876736,1714053888014,1714053895762,1714053914786
43,1714053846226,1714053856655,1714053875221,1714053886780,1714053898147,1714053914786
44,1714053846226,1714053857610,1714053877403,1714053887373,1714053896877,1714053914786
45,1714053846226,1714053856481,1714053874194,1714053883656,1714053890984,1714053914786
46,1714053846226,1714053857230,1714053876846,1714053890409,1714053898251,1714053914786
47,1714053846226,1714053857833,1714053878009,1714053889804,1714053896346,1714053914786
48,1714053846226,1714053858637,1714053878038,1714053885822,1714053893693,1714053914786
49,1714053846226,1714053858770,1714053877189,1714053883764,1714053889037,1714053914786
50,1714053846226,1714053858358,1714053878659,1714053891859,1714053898038,1714053914786
51,1714053846226,1714053857974,1714053877722,1714053888923,1714053895203,1714053914786
52,1714053846226,1714053858129,1714053879752,1714053892224,1714053897944,1714053914786
