fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1714054019506,1714054027297,1714054041918,1714054053044,1714054061569,1714054091444
1,1714054019506,1714054025519,1714054038505,1714054046196,1714054052465,1714054091444
2,1714054019506,1714054026340,1714054040333,1714054051807,1714054060348,1714054091444
3,1714054019506,1714054026914,1714054040852,1714054047576,1714054054006,1714054091444
4,1714054019506,1714054023404,1714054036473,1714054046274,1714054054350,1714054091444
5,1714054019506,1714054025121,1714054038931,1714054050077,1714054062620,1714054091444
6,1714054019506,1714054027297,1714054041367,1714054049807,1714054059602,1714054091444
7,1714054019506,1714054023925,1714054037497,1714054045842,1714054054186,1714054091444
8,1714054019506,1714054028690,1714054050932,1714054060558,1714054067019,1714054091444
9,1714054019506,1714054023778,1714054037100,1714054046765,1714054054280,1714054091444
10,1714054019506,1714054027511,1714054041844,1714054050070,1714054057510,1714054091444
11,1714054019506,1714054024208,1714054037494,1714054045316,1714054052070,1714054091444
12,1714054019506,1714054026573,1714054040362,1714054048598,1714054062644,1714054091444
13,1714054019506,1714054023820,1714054036949,1714054044776,1714054056485,1714054091444
14,1714054019506,1714054028228,1714054042947,1714054051664,1714054062241,1714054091444
15,1714054019506,1714054023989,1714054037742,1714054049387,1714054062717,1714054091444
16,1714054019506,1714054026927,1714054041543,1714054052285,1714054062548,1714054091444
17,1714054019506,1714054024660,1714054038346,1714054048625,1714054060156,1714054091444
18,1714054019506,1714054026922,1714054041374,1714054050992,1714054059549,1714054091444
19,1714054019506,1714054024931,1714054038223,1714054045556,1714054069867,1714054091444
20,1714054019506,1714054026149,1714054039921,1714054048819,1714054057099,1714054091444
21,1714054019506,1714054024407,1714054038134,1714054049292,1714054061292,1714054091444
22,1714054019506,1714054027677,1714054052480,1714054063418,1714054069605,1714054091444
23,1714054019506,1714054023529,1714054036890,1714054045835,1714054053150,1714054091444
24,1714054019506,1714054026207,1714054040243,1714054048979,1714054056911,1714054091444
25,1714054019506,1714054028110,1714054051539,1714054059047,1714054067758,1714054091444
26,1714054019506,1714054028512,1714054045318,1714054058486,1714054070984,1714054091444
27,1714054019506,1714054027447,1714054042807,1714054054634,1714054063530,1714054091444
28,1714054019506,1714054029039,1714054045068,1714054053781,1714054063680,1714054091444
29,1714054019506,1714054028011,1714054042685,1714054052165,1714054059658,1714054091444
30,1714054019506,1714054028900,1714054044970,1714054056233,1714054064414,1714054091444
31,1714054019506,1714054028008,1714054042203,1714054050174,1714054057257,1714054091444
32,1714054019506,1714054028413,1714054042538,1714054048915,1714054055534,1714054091444
33,1714054019506,1714054030203,1714054047675,1714054056691,1714054066039,1714054091444
